date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:47	26507/26507	U-----	200	untouched ('OK')	text/html	etag:%22420dd622-678b-4c7abe14b8300%22	http://www.memobio.fr/html/bact/ba_ba_enc.html	www.memobio.fr/ba_ba_enc.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:47	22874/22874	U-----	200	untouched ('OK')	text/html	etag:%22420dc5fd-595a-4c7abe13c40c0%22	http://www.memobio.fr/html/bact/ba_ba_cgn.html	www.memobio.fr/ba_ba_cgn.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:47	26743/26743	U-----	200	untouched ('OK')	text/html	etag:%22420dc5d9-6877-4c7abe17949c0%22	http://www.memobio.fr/html/bact/ba_ba_nei.html	www.memobio.fr/ba_ba_nei.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	26384/26384	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f5-6710-4c7abe12cfe80%22	http://www.memobio.fr/html/bact/ba_ba_bca.html	www.memobio.fr/ba_ba_bca.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	22882/22882	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f8-5962-4c7abe12cfe80%22	http://www.memobio.fr/html/bact/ba_ba_bgp.html	www.memobio.fr/ba_ba_bgp.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	27095/27095	U-----	200	untouched ('OK')	text/html	etag:%22420dd627-69d7-4c7abe16a0780%22	http://www.memobio.fr/html/bact/ba_ba_lmo.html	www.memobio.fr/ba_ba_lmo.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	28122/28122	U-----	200	untouched ('OK')	text/html	etag:%22420dd621-6dda-4c7abe14b8300%22	http://www.memobio.fr/html/bact/ba_ba_cor.html	www.memobio.fr/ba_ba_cor.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	22896/22896	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f4-5970-4c7abe12cfe80%22	http://www.memobio.fr/html/bact/ba_ba_acti.html	www.memobio.fr/ba_ba_acti.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	27357/27357	U-----	200	untouched ('OK')	text/html	etag:%22420dc5da-6add-4c7abe17949c0%22	http://www.memobio.fr/html/bact/ba_ba_noc.html	www.memobio.fr/ba_ba_noc.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	28428/28428	U-----	200	untouched ('OK')	text/html	etag:%22420dc5d8-6f0c-4c7abe16a0780%22	http://www.memobio.fr/html/bact/ba_ba_mtu.html	www.memobio.fr/ba_ba_mtu.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	22702/22702	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f6-58ae-4c7abe12cfe80%22	http://www.memobio.fr/html/bact/ba_ba_bgn.html	www.memobio.fr/ba_ba_bgn.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	28012/28012	U-----	200	untouched ('OK')	text/html	etag:%22420dd623-6d6c-4c7abe14b8300%22	http://www.memobio.fr/html/bact/ba_ba_ent.html	www.memobio.fr/ba_ba_ent.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	27765/27765	U-----	200	untouched ('OK')	text/html	etag:%22420dc5db-6c75-4c7abe17949c0%22	http://www.memobio.fr/html/bact/ba_ba_pae.html	www.memobio.fr/ba_ba_pae.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	26994/26994	U-----	200	untouched ('OK')	text/html	etag:%22420dc5e8-6972-4c7abe15ac540%22	http://www.memobio.fr/html/bact/ba_ba_hin.html	www.memobio.fr/ba_ba_hin.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:48	27245/27245	U-----	200	untouched ('OK')	text/html	etag:%22420dc5d6-6a6d-4c7abe16a0780%22	http://www.memobio.fr/html/bact/ba_ba_lpn.html	www.memobio.fr/ba_ba_lpn.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	27278/27278	U-----	200	untouched ('OK')	text/html	etag:%22420dc5fc-6a8e-4c7abe13c40c0%22	http://www.memobio.fr/html/bact/ba_ba_cam.html	www.memobio.fr/ba_ba_cam.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	29343/29343	U-----	200	untouched ('OK')	text/html	etag:%22420dd626-729f-4c7abe16a0780%22	http://www.memobio.fr/html/bact/ba_ba_hpy.html	www.memobio.fr/ba_ba_hpy.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	26880/26880	U-----	200	untouched ('OK')	text/html	etag:%22420dc5fb-6900-4c7abe13c40c0%22	http://www.memobio.fr/html/bact/ba_ba_bpe.html	www.memobio.fr/ba_ba_bpe.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
